name	chars	lines
IdentifiedObject.description-stringLength	121	7
SeriesCompensator.varistorRatedCurrent-required	209	7
SeriesCompensator.varistorVoltageThreshold-required	209	7
EquivalentInjection.regulationCapability-notHVDC	454	9
BoundaryPoint-bppl1Bppl2	831	17
BoundaryPoint-bppl3	2833	63
ACLineSegment-BaseVoltageDiff	676	14
Terminal-EXCH8TopologicalNode	634	13
AssessedElement-associations	498	10
OperationalLimit.AssessedElement-required	187	7
ClassCount-property	199	7
AvailabilityEnabled-associations	282	11
spatial-NC-cardinality	992	13
accrualPeriodicity-NC-cardinality	411	13
usedSettings-NC-cardinality	312	13
accessRights-NC-cardinality	993	13
conformsTo-NC-cardinality	1237	17
requires-NC-cardinality	993	13
issued-NC-cardinality	993	13
keyword-NC-cardinality	993	13
versionNotes.langTag-presence	116	7
description.langTag-presence	116	7
alternativeVersionAndPreferredVersion-dependency	286	8
forwardReverse-dependency	248	8
reverseDifferencePreviousVersion-dependency	229	8
AreaDispatchableUnit-associations	526	11
EnergyComponent-associations	412	10
HydroPowerPlant-operatingMode	819	8
Circuit-associations	210	8
InfeedLimit-requiredAttributes	230	8
RemedialActionImpact-associations	290	8
RemedialActionOutcomeValue-associations	302	8
IdentifiedObject.name-stringLength	121	7
IdentifiedObject.description-stringLength	121	7
PowerSchedule-dcassociations	228	8
GridStateAlteration-associations	324	11
RemedialActionSchedule-proposingEntity	261	7
RemedialActionScheduleGroup-dependency	411	7
RemedialActionScheduleDependency.kind-cardinality	210	7
RemedialActionScheduleDependency.kind-applicability	254	8
RemedialActionScheduleDependency-associations	450	10
RemedialActionScheduleResponse.rejectionReasonKind-required	294	8
RemedialActionScheduleResponse.rejectionReason-applicability	288	8
PowerFlowResult.value	338	9
PowerFlowResult-ApparentPowerLimit	288	7
PowerFlowResult-ActivePowerLimit	281	7
PowerFlowResult-ReactivePowerLimit	288	7
PowerFlowResult-VoltageLimit	270	7
PowerFlowResult-VoltageAngleLimit	212	7
PowerFlowResult-CurrentLimit	270	7
PowerFlowResult-voltageAndAngle	428	11
PowerFlowResult-association	428	7
PowerFlowResult-topologicalNode	499	11
RemedialActionApplied.StageForRemedialActionScheme-cardinality	317	8
PowerShiftKeySchedule.ParticipationFactorTimePoint-dependency	266	7
PowerShiftKeySchedule-associations	2226	26
PowerShiftKeyDistribution-associations	303	11
PowerBidSchedule-associations	279	11
PowerBidScheduleTimePoint-attributes	751	16
PowerBidDependency.finishToFinishLagKind-required	258	9
PowerBidDependency.finishToStartLagKind-required	256	9
PowerBidDependency.overlapKind-required	232	9
PowerBidDependency.startToStartLagKind-required	254	9
PowerBidDependency.kind-exclusive	495	12
PowerTransformer-twoWinding	273	7
DanglingReferences	500	19
PROF10-DY	245	7
FullModel-EQ	250	7
FullModel-DL	250	7
PROF10-SC	249	7
PROF10-OP	246	7
FullModel-GL	257	7
PROF10-SV	251	7
PROF10-TP	245	7
PROF10-SSH	258	7
DiffModel-DY	251	7
DiffModel-EQ	256	7
DiffModel-SC	255	7
DiffModel-OP	252	7
DiffModel-GL	263	7
RegulatingControl	276	7
BoundaryPoint	243	8
BoundaryPoint	243	8
DanglingReferences	500	19
